Business Name,What they do (primary category),All place types,Location (address),Website,Place ID
Iman Towing Roadside,Services,"service, point_of_interest, establishment","18968 Masterson Pl, Castro Valley, CA 94552, USA",http://imantowingservice.com/,ChIJmQrE90yTj4ARIlyplSZWCUQ
Fernhaven Equestrian,Sports School,"sports_coaching, sports_school, sports_activity_location, point_of_interest, establishment","7324 Crow Canyon Rd, Castro Valley, CA 94552, USA",https://fernhavenequestrian.com/,ChIJI_ued_yTj4AREZtK8y3zobQ
Continental Equestrian,,"point_of_interest, establishment","7324 Crow Canyon Rd, Castro Valley, CA 94552, USA",https://continentalequestrian.com/,ChIJ3-N2cveTj4AR54d4KWcEEXA
Apple Creek Farms,Sports School,"sports_coaching, sports_school, sports_activity_location, point_of_interest, establishment","7324 Crow Canyon Rd, Castro Valley, CA 94552, USA",https://www.applecreekcv.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=5043863963040633555,ChIJAxUm4n2Sj4ARY_It8lt_KCQ
Haystackhorses,Sports School,"sports_coaching, sports_school, sports_activity_location, point_of_interest, establishment","7324 Crow Canyon Rd, Castro Valley, CA 94546, USA",,ChIJkR5qeISTj4ARPn6yURyWewc
Roofing Doctor,Roofing Contractor,"roofing_contractor, service, point_of_interest, establishment","5753 Greenridge Rd, Castro Valley, CA 94552, USA",http://www.roofingdoctor.com/,ChIJYUSYr12Sj4ARFPpb6NTW9Cw
Cheyenne West,Child Care Agency,"child_care_agency, service, point_of_interest, establishment","5886 Highwood Rd, Castro Valley, CA 94552, USA",,ChIJn0_tYgCTj4ARjqyedkrUWIo
Sunshine Palette Child Care,Child Care Agency,"child_care_agency, service, point_of_interest, establishment","5745 Cold Water Dr, Castro Valley, CA 94552, USA",http://www.sunshinepalette.com/,ChIJYw3evbiTj4ARYIdsz0lKfTA
Alegria Community Living,Services,"service, point_of_interest, establishment","5508 Jasmine Ct, Castro Valley, CA 94552, USA",,ChIJr1-43WeSj4ARBaSzruXjrCQ
SF Wedding Photos,Services,"point_of_interest, service, establishment","20400 Summercrest Dr, Castro Valley, CA 94552, USA",https://www.sfweddingphotos.com/,ChIJtRPCUnuTj4AR52LZnWJhndU
Franklins house,Housing Complex,"housing_complex, point_of_interest, service, establishment","7319 Longmont Loop, Castro Valley, CA 94552, USA",,ChIJfadWJACTj4ARHhQ_XYgtl24
Financial Services,Insurance Agency,"insurance_agency, point_of_interest, service, establishment","7619 Pineville Cir, Castro Valley, CA 94552, USA",https://clients.firstfinancialsecurity.com/FFSBB/,ChIJD1tWX8OTj4ARLGdhZGe1LKM
Martin Cinke Tutoring,Services,"consultant, point_of_interest, educational_institution, service, establishment","19995 Jensen Ranch Rd, Castro Valley, CA 94552, USA",https://mctutoring.org/,ChIJNyF_tTZ41mMRBciIoacPh1o
Aster BioScience,,"point_of_interest, establishment","7296 Longmont Loop, Castro Valley, CA 94552, USA",https://www.asterbioscience.com/,ChIJwUUNbe2Sj4ARVVocFc3sF3A
Evoluxe Skin,Store,"store, point_of_interest, establishment","19405 Buren Pl, Castro Valley, CA 94552, USA",,ChIJKx9kvnaTj4ARy7oKBKK9wx8
Top One Equipment Care,Services,"point_of_interest, service, establishment","19215 Buren Pl, Castro Valley, CA 94552, USA",http://www.toponecare.com/,ChIJebaEVo2Sj4AR95igNpkGK6c
GameDay Legends,Services,"point_of_interest, service, establishment","20934 Sherman Dr, Castro Valley, CA 94552, USA",,ChIJgwCwm4-Tj4AR3QI3M7GBdV4
First Choice Landscape Construction,General Contractor,"general_contractor, point_of_interest, service, establishment","20971 Elbridge Ct, Castro Valley, CA 94552, USA",http://www.firstchoicelandscaper.com/,ChIJu2OdKOmSj4ARRz8D3_SHPTU
Union Express Travel,Transportation Service,"transportation_service, point_of_interest, establishment","7932 Pineville Cir, Castro Valley, CA 94552, USA",http://unionexpresstravel.com/,ChIJq6qWh-6Sj4AREL_uCwxoLzg
Guitar Lessons - Joe Ryan,School,"school, point_of_interest, educational_institution, service, establishment","Palomares Hills Park, 7050 Villareal Dr, Castro Valley, CA 94552, USA",https://lessons.com/ca/hayward/guitar-lessons/joe-ryan-guitar-lessons,ChIJQRolOw-Sj4ARbWZpoQ2YNbY
Palomares Hills Park,Park,"park, point_of_interest, establishment","7050 Villareal Dr, Castro Valley, CA 94552, USA",https://www.haywardrec.org/facilities/facility/details/Palomares-Hills-Park-36,ChIJ0ysm6e2Sj4ARl4Y-U7gA-TU
Make Me A Pro Sports,Sports School,"sports_school, point_of_interest, establishment","7050 Villareal Dr, Castro Valley, CA 94552, USA",http://www.makemeaprosports.com/,ChIJzW9w6O2Sj4AR9NMUgFoxtGk
El Frijol,Pet Boarding Service,"stable, pet_boarding_service, pet_care, point_of_interest, service, establishment","PX8P+96, Castro Valley, CA 94552, USA",,ChIJQwDXXwCTj4ARHpnE0gyt5iw
Hang Lung Plastics Inc,Manufacturer,"manufacturer, point_of_interest, establishment","7912 Pineville Cir, Castro Valley, CA 94552, USA",,ChIJ-zgki-6Sj4ARQ2fwqqneDLk
Rancho El Afortunado,Farm,"farm, point_of_interest, service, establishment","22469 Eden Canyon Rd, Castro Valley, CA 94552, USA",,ChIJMa6M9c6Wj4ARhRhz2bsKaLs
Alameda County Fire Station 7,Fire Station,"fire_station, government_office, point_of_interest, service, establishment","6901 Villareal Dr, Castro Valley, CA 94552, USA",http://www.co.alameda.ca.us/fire/about/station07.htm,ChIJM9Pj9_GSj4AR9mno7KcX49M
Commercial Maintenance and Repair Services,Services,"point_of_interest, service, establishment","Eden Canyon Rd, Castro Valley, CA 94552, USA",http://protechmr.com/,ChIJHduYxNKTj4ARO14j-qasG9k
Palomares Hills HOA,Services,"point_of_interest, service, establishment","6811 Villareal Dr, Castro Valley, CA 94552, USA",,ChIJozhh6vGSj4ARgg2zrQWZyj0
Palomares Hills Clubhouse,Sports Activity Location,"sports_activity_location, point_of_interest, establishment","6811 Villareal Dr, Castro Valley, CA 94552, USA",https://palomareshills.nabrnetwork.com/,ChIJTTxfjfGSj4ARowjUXpwudWI
Pro Tech Maintenance & Repair,Services,"point_of_interest, service, establishment","21500 Eden Canyon Rd, Castro Valley, CA 94552, USA",http://www.protechmr.com/,ChIJRafutcuSj4AR-TNc8mIW69s
Victory Construction Inc,General Contractor,"general_contractor, point_of_interest, service, establishment","21812 Eden Canyon Rd, Castro Valley, CA 94552, USA",,ChIJ-2L9yMiSj4AR_SMdA-oj1vI
JP Guide Service,Sports Club,"sports_club, point_of_interest, association_or_organization, establishment","22990 Eden Canyon Rd, Castro Valley, CA 94552, USA",https://www.jpguideservice.net/,ChIJ1YzhNEKTj4ARiydrhNy6P_0
Digital Harmony Productions,Services,"point_of_interest, service, establishment","9602 Kelly Canyon Ct, Dublin, CA 94568, USA",http://www.dhplive.com/,ChIJVVWReNDsj4ARdS3eMbqWPZI
Spinexpt,Physical Therapist,"physiotherapist, health, point_of_interest, establishment","7912 Ridgeline Place, Dublin, CA 94568, USA",,ChIJGf3ZE3jtj4ARv4Vv-J9rHJ0
Raj Lakhotia Tax Services,Banking and Finance,"finance, point_of_interest, establishment","7865 Ridgeline Place, Dublin, CA 94568, USA",http://www.rajtaxaccounting.com/,ChIJK-pTXViVj4ARwJPAFimSoyI
Wayne Wang Real Estate Team - You Home Sold Guaranteed or I Will Buy it!,Real Estate Agency,"real_estate_agency, point_of_interest, service, establishment","7835 Ridgeline Place, Dublin, CA 94568, USA",https://www.aillion.us/,ChIJGdujRXXtj4ARjOVxGIYuw4U
Pravaah Consulting,,"point_of_interest, establishment","7852 Ridgeline Place, Dublin, CA 94568, USA",http://www.pravaahconsulting.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=12187281892671960981,ChIJAwgCYZftj4AROJxRL3LW_AM
Kelly Canyon Dr & Reimers Wy,Bus stop,"bus_stop, transit_stop, transit_station, transportation_service, point_of_interest, establishment","Dublin, CA 94568, USA",,ChIJGaxOI8Xsj4ARRofpKfkDkN8
Schaefer Ranch Park,Park,"park, point_of_interest, establishment","9595 Dublin Blvd, Dublin, CA 94568, USA",https://dublin.ca.gov/facilities/facility/details/Schaefer-Ranch-Park-29,ChIJEYjEZBftj4ARYC9psOo8Pms
Dublin Blvd & Schaefer Heights Dr,Bus stop,"bus_stop, transit_stop, transit_station, transportation_service, point_of_interest, establishment","Dublin, CA 94568, USA",,ChIJsfX85M_sj4AR3teDC2csD8s
Travelomile,Travel Agency,"travel_agency, point_of_interest, service, establishment","7707 Kelly Canyon Dr, Dublin, CA 94568, USA",,ChIJq6pGBMXsj4AR_ruVyjkn3Uw
Schaefer Ranch by Toll Brothers,General Contractor,"apartment_complex, general_contractor, point_of_interest, service, association_or_organization, establishment","9557 Joey Dare Ct, Dublin, CA 94568, USA",https://www.tollbrothers.com/luxury-homes-for-sale/California/Schaefer-Ranch-by-Toll-Brothers,ChIJ_bduC8Xsj4AR8h0WoQC28l0
a1koipond,Point of interest,"point_of_interest, establishment","11289 Marwick Dr, Dublin, CA 94558, USA",https://www.a1koiponds.com/contact-us/,ChIJh0WcFfzsj4ARLUJH1By-qj8
Assistance With Aging,Medical Clinic,"medical_clinic, health, point_of_interest, service, establishment","11411 Marwick Dr, Dublin, CA 94568, USA",,ChIJbSqju_7sj4ARYMDJ66pcS84
Northern California Laborers' Training Center,,"point_of_interest, establishment","1001 Westside Dr, San Ramon, CA 94583, USA",http://norcaltc.org/,ChIJ-bkktwDtj4ARIAYsLyBcHGk
Ship2shore Travel,Travel Agency,"travel_agency, point_of_interest, service, establishment","8372 Creekside Dr, Dublin, CA 94568, USA",,ChIJIYNmjfnsj4ARrg_nwiCP5Nw
Rudolph H Carpenter,Manufacturer,"point_of_interest, service, manufacturer, establishment","8308 Creekside Dr, Dublin, CA 94568, USA",,ChIJFZYVfvfsj4ARBnczQiMN0es
Clingerman Painting,Painter,"painter, point_of_interest, service, establishment","8662 Bloomington Ct, Dublin, CA 94568, USA",,ChIJ21GyKVbsj4ARIQhNwkpP8qU
Rusco Engineering Inc,Manufacturer,"point_of_interest, service, manufacturer, establishment","8164 Vía Zapata, Dublin, CA 94568, USA",,ChIJ0QKv11fsj4ARpEhTQ1dmL00
Southwick Dr & Beckett Wy,Bus stop,"bus_stop, transit_stop, transit_station, transportation_service, point_of_interest, establishment","Dublin, CA 94568, USA",,ChIJa5gZP1bsj4ARLeZV2mxCZRY
Centennial Park,Park,"park, tourist_attraction, point_of_interest, establishment","San Ramon, CA 94583, USA",http://www.sanramon.ca.gov/our_city/departments_and_divisions/parks_community_services/parks_facilities/parks/centennial_park,ChIJ5aqopartj4ARMO1bgVcLWkQ
Southwick Dr & Southwick Ct,Bus stop,"bus_stop, transit_stop, transit_station, transportation_service, point_of_interest, establishment","Dublin, CA 94568, USA",,ChIJ5w-xa1bsj4ARjlpGwfBPKj0
Telemax Communications Inc,Telecommunications Service Provider,"telecommunications_service_provider, point_of_interest, store, establishment","11848 W Vomac Rd, Dublin, CA 94568, USA",https://www.telemaxcommunications.com/,ChIJb3XtSVbsj4ARVNTSquOoF2A
Wells Fargo ATM,ATM,"atm, finance, point_of_interest, establishment","21001 San Ramon Valley Blvd, San Ramon, CA 94583, USA",https://www.wellsfargo.com/locator/bank/21001__SAN__RAMON__VALLEY__BLVD_SAN__RAMON_CA_94583/?utm_campaign=Local_Listings&utm_source=Google&group=ATM&loc=AD80710,ChIJHcVf7VTsj4ARD34MXQxAJmw
Tesla Supercharger,Electric Vehicle Charging Station,"electric_vehicle_charging_station, transportation_service, point_of_interest, establishment","21001 San Ramon Valley Blvd, San Ramon, CA 94583, USA",https://tesla.com/charge,ChIJ-2j4RqPtj4ARMViP_i4D0rA
